age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
35-44,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,None,High,40,United-States,>50K
35-44,Private,Masters,14,Never-married,Sales,Not-in-family,White,Male,None,High,45,United-States,>50K
25-34,Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,White,Male,None,High,50,United-States,>50K
45-54,Private,Some-college,10,Separated,Craft-repair,Not-in-family,White,Male,None,High,45,United-States,>50K
35-44,Local-gov,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,None,High,40,United-States,>50K
35-44,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,None,High,45,United-States,>50K
25-34,Private,Assoc-voc,11,Separated,Craft-repair,Not-in-family,White,Male,None,High,42,United-States,>50K
35-44,Private,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Male,None,High,70,United-States,>50K
45-54,Self-emp-inc,11th,7,Never-married,Exec-managerial,Other-relative,White,Male,None,High,40,United-States,>50K
35-44,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,None,High,6,United-States,>50K
45-54,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,None,High,40,China,>50K
35-44,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,40,United-States,>50K
55-64,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,High,70,?,>50K
35-44,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,60,United-States,>50K
55-64,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,35,Greece,>50K
35-44,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,None,High,60,United-States,>50K
35-44,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,60,United-States,>50K
45-54,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,None,High,55,United-States,>50K
45-54,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,50,United-States,>50K
35-44,Local-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,45,United-States,>50K
55-64,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,50,United-States,>50K
35-44,Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,None,High,65,United-States,>50K
35-44,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,60,United-States,>50K
35-44,?,Assoc-voc,11,Married-civ-spouse,?,Husband,White,Male,None,High,12,United-States,>50K
45-54,Private,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,None,High,65,United-States,>50K
35-44,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,45,United-States,>50K
25-34,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,48,United-States,>50K
35-44,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,55,United-States,>50K
55-64,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,80,United-States,>50K
25-34,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,70,Taiwan,>50K
55-64,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,None,High,40,United-States,>50K
35-44,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,None,High,50,United-States,>50K
35-44,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,50,United-States,>50K
35-44,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,50,?,>50K
35-44,Federal-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,None,High,55,?,>50K
55-64,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,50,United-States,>50K
35-44,Self-emp-inc,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,55,United-States,>50K
35-44,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,None,High,67,India,>50K
45-54,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,None,High,40,United-States,>50K
35-44,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,None,High,99,United-States,>50K
55-64,Self-emp-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,None,High,60,United-States,>50K
25-34,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,None,High,40,United-States,>50K
45-54,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,None,High,35,Philippines,>50K
45-54,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,80,United-States,>50K
35-44,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,None,High,40,United-States,>50K
35-44,Private,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,None,High,99,United-States,>50K
55-64,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,45,United-States,>50K
45-54,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,60,United-States,>50K
45-54,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,55,United-States,>50K
45-54,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,40,United-States,>50K
45-54,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,30,United-States,>50K
35-44,Self-emp-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,None,High,55,United-States,>50K
35-44,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,None,High,45,United-States,>50K
35-44,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,90,United-States,>50K
45-54,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,None,High,50,United-States,>50K
45-54,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,None,High,20,United-States,>50K
45-54,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,60,United-States,>50K
45-54,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,45,United-States,>50K
65+,Private,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,Male,None,High,40,United-States,>50K
65+,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,75,United-States,>50K
65+,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,25,United-States,>50K
65+,?,Doctorate,16,Married-civ-spouse,?,Husband,White,Male,None,High,6,United-States,>50K
45-54,Self-emp-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,50,United-States,>50K
65+,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,40,United-States,>50K
65+,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,60,United-States,>50K
65+,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,55,United-States,>50K
65+,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,40,United-States,>50K
25-34,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,High,45,United-States,<=50K
65+,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,60,United-States,>50K
45-54,Self-emp-inc,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,None,High,40,United-States,>50K
35-44,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,60,United-States,<=50K
65+,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,None,High,12,United-States,>50K
25-34,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,None,High,20,United-States,<=50K
35-44,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,40,United-States,<=50K
19-24,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,None,High,40,United-States,<=50K
65+,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,26,United-States,>50K
65+,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Sales,Husband,White,Male,None,High,25,United-States,>50K
65+,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,45,United-States,>50K
65+,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,None,High,55,United-States,>50K
65+,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,42,?,>50K
65+,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,None,High,40,United-States,>50K
45-54,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,None,High,40,United-States,<=50K
35-44,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,None,High,50,United-States,<=50K
65+,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,None,High,35,United-States,>50K
19-24,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,48,United-States,<=50K
35-44,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,None,High,40,United-States,<=50K
65+,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,50,United-States,>50K
55-64,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,None,High,50,United-States,<=50K
65+,Self-emp-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,None,High,65,United-States,<=50K
45-54,Private,5th-6th,3,Divorced,Craft-repair,Not-in-family,White,Female,None,High,45,United-States,<=50K
25-34,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,None,High,55,United-States,<=50K
55-64,Local-gov,HS-grad,9,Widowed,Farming-fishing,Unmarried,White,Male,None,High,40,United-States,<=50K
55-64,Private,5th-6th,3,Never-married,Handlers-cleaners,Not-in-family,Black,Male,None,High,40,United-States,<=50K
55-64,State-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,None,High,40,United-States,<=50K
45-54,Self-emp-inc,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,None,High,50,United-States,<=50K
25-34,Private,Bachelors,13,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,None,High,40,?,<=50K
25-34,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,None,High,35,United-States,<=50K
55-64,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,None,High,45,?,<=50K
55-64,Local-gov,HS-grad,9,Separated,Protective-serv,Other-relative,Black,Female,None,High,40,United-States,<=50K
25-34,State-gov,Some-college,10,Separated,Exec-managerial,Own-child,White,Male,None,High,40,United-States,<=50K
35-44,?,Assoc-voc,11,Widowed,?,Not-in-family,White,Female,None,High,36,United-States,<=50K
55-64,Self-emp-not-inc,Masters,14,Divorced,Sales,Unmarried,White,Female,None,High,60,United-States,<=50K
35-44,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,None,High,40,United-States,<=50K
35-44,Private,HS-grad,9,Never-married,Adm-clerical,Other-relative,Black,Female,None,High,40,Trinadad&Tobago,<=50K
25-34,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,None,High,40,Canada,<=50K
35-44,Self-emp-not-inc,Prof-school,15,Divorced,Other-service,Not-in-family,White,Female,None,High,35,United-States,<=50K
65+,Private,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Male,None,High,40,United-States,>50K
65+,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,None,High,40,United-States,<=50K
65+,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,High,40,United-States,<=50K
55-64,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,None,High,40,United-States,<=50K
55-64,Federal-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,None,High,40,United-States,<=50K
19-24,Self-emp-not-inc,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,None,High,10,United-States,<=50K
25-34,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,None,High,84,United-States,<=50K
25-34,Self-emp-not-inc,Some-college,10,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,None,High,40,South,<=50K
35-44,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,None,High,48,Philippines,<=50K
35-44,Private,Some-college,10,Separated,Machine-op-inspct,Not-in-family,White,Male,None,High,55,United-States,>50K
45-54,State-gov,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Male,None,High,38,United-States,>50K
25-34,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,None,High,45,United-States,>50K
55-64,Federal-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,None,High,40,United-States,<=50K
35-44,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,None,High,42,United-States,>50K
45-54,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,None,High,40,United-States,>50K
25-34,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,None,High,45,United-States,>50K
25-34,Self-emp-not-inc,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,None,High,50,United-States,<=50K
19-24,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,None,High,40,United-States,>50K
25-34,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,None,High,50,United-States,<=50K
25-34,Private,12th,8,Divorced,Craft-repair,Not-in-family,White,Male,None,High,42,United-States,<=50K
35-44,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,None,High,60,United-States,<=50K
55-64,Private,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,None,High,38,United-States,>50K
35-44,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,None,High,70,United-States,<=50K
35-44,Federal-gov,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Male,None,High,40,United-States,>50K
45-54,State-gov,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,Female,None,High,50,United-States,>50K
35-44,Self-emp-inc,Some-college,10,Never-married,Sales,Not-in-family,White,Male,None,High,60,United-States,<=50K
55-64,Private,Some-college,10,Widowed,Farming-fishing,Not-in-family,White,Male,None,High,62,United-States,>50K
45-54,Private,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,None,High,44,United-States,>50K
45-54,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,None,High,40,United-States,>50K
25-34,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,45,United-States,>50K
55-64,Local-gov,HS-grad,9,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,None,High,40,United-States,>50K
65+,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,40,United-States,>50K
65+,Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,8,United-States,>50K
65+,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,40,United-States,>50K
65+,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,28,United-States,>50K
25-34,Private,HS-grad,9,Separated,Machine-op-inspct,Unmarried,White,Female,None,High,40,United-States,<=50K
25-34,Private,10th,6,Widowed,Adm-clerical,Unmarried,White,Female,None,High,35,United-States,<=50K
19-24,Self-emp-not-inc,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,None,High,40,United-States,>50K
45-54,Local-gov,9th,5,Widowed,Handlers-cleaners,Unmarried,White,Male,None,High,40,United-States,>50K
25-34,Local-gov,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,None,High,40,United-States,>50K
65+,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,None,High,40,United-States,<=50K
65+,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,None,High,30,United-States,<=50K
65+,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,None,High,59,Canada,<=50K
65+,?,HS-grad,9,Widowed,?,Unmarried,White,Female,None,High,10,United-States,<=50K
65+,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,None,High,5,United-States,<=50K
65+,Local-gov,Bachelors,13,Widowed,Prof-specialty,Not-in-family,Black,Female,None,High,25,United-States,<=50K
19-24,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,None,High,24,United-States,<=50K
35-44,Self-emp-not-inc,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,None,High,35,United-States,<=50K
35-44,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,None,High,40,United-States,<=50K
19-24,Private,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,None,High,18,United-States,<=50K
35-44,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,None,High,40,United-States,<=50K
35-44,Private,Some-college,10,Never-married,Other-service,Own-child,Black,Female,None,High,40,United-States,<=50K
25-34,Private,Some-college,10,Never-married,Machine-op-inspct,Other-relative,White,Female,None,High,40,Holand-Netherlands,<=50K
35-44,Private,7th-8th,4,Never-married,Handlers-cleaners,Not-in-family,Black,Male,None,High,40,United-States,<=50K
55-64,?,HS-grad,9,Divorced,?,Not-in-family,White,Female,None,High,40,United-States,<=50K
35-44,Self-emp-inc,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,None,High,60,India,>50K
55-64,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,None,High,40,United-States,<=50K
25-34,Private,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,None,High,40,Puerto-Rico,<=50K
35-44,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Other,Male,None,High,84,Mexico,<=50K
35-44,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,None,High,40,United-States,<=50K
55-64,Self-emp-not-inc,1st-4th,2,Married-civ-spouse,Transport-moving,Husband,White,Male,None,High,18,United-States,<=50K
55-64,State-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,40,United-States,<=50K
25-34,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,White,Female,None,High,12,United-States,<=50K
45-54,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,None,High,45,United-States,<=50K
25-34,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,None,High,40,United-States,<=50K
45-54,Private,10th,6,Married-civ-spouse,Sales,Husband,White,Male,None,High,52,United-States,<=50K
35-44,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,High,40,United-States,<=50K
45-54,Self-emp-not-inc,5th-6th,3,Married-civ-spouse,Sales,Husband,White,Male,None,High,50,Mexico,<=50K
55-64,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,None,High,45,United-States,<=50K
35-44,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,None,High,40,United-States,<=50K
25-34,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,None,High,40,United-States,<=50K
65+,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,None,High,40,United-States,>50K
65+,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,10,United-States,>50K
65+,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,None,High,40,United-States,>50K
65+,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,50,United-States,>50K
65+,State-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,High,40,United-States,>50K
65+,Federal-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,None,High,40,United-States,>50K
65+,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,50,United-States,>50K
55-64,?,Bachelors,13,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,None,High,25,South,<=50K
65+,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,40,United-States,<=50K
65+,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,None,High,20,United-States,<=50K
35-44,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,None,High,72,?,<=50K
19-24,Self-emp-not-inc,11th,7,Married-civ-spouse,Craft-repair,Own-child,White,Male,None,High,55,United-States,<=50K
35-44,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,None,High,40,United-States,<=50K
