Agency_Text,Sex_Code_Text,Ethnic_Code_Text,AgeGroup,ScaleSet,AssessmentReason,Language,LegalStatus,CustodyStatus,MaritalStatus,RecSupervisionLevelText,DisplayText,DecileScore,ScoreText,AssessmentType
Probation,Male,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Recidivism,9,High,New
Probation,Male,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Failure to Appear,3,Low,New
PRETRIAL,Male,Caucasian,18-25,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,High,Risk of Violence,8,High,New
PRETRIAL,Male,Caucasian,18-25,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,High,Risk of Recidivism,9,High,New
PRETRIAL,Male,Caucasian,18-25,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,High,Risk of Failure to Appear,6,Medium,New
Probation,Male,African-American,18-25,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Medium with Override Consideration,Risk of Violence,7,Medium,New
Probation,Male,African-American,18-25,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Medium with Override Consideration,Risk of Recidivism,9,High,New
Probation,Male,African-American,18-25,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Medium with Override Consideration,Risk of Failure to Appear,5,Medium,New
PRETRIAL,Male,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Violence,4,Low,New
PRETRIAL,Male,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Recidivism,9,High,New
PRETRIAL,Male,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Failure to Appear,1,Low,New
PRETRIAL,Female,Caucasian,51-60,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Violence,3,Low,New
PRETRIAL,Female,Caucasian,51-60,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Recidivism,8,High,New
PRETRIAL,Female,Caucasian,51-60,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Failure to Appear,7,Medium,New
PRETRIAL,Male,African-American,42-50,Risk and Prescreen,Intake,English,Pretrial,Pretrial Defendant,Single,Low,Risk of Violence,2,Low,New
PRETRIAL,Male,African-American,42-50,Risk and Prescreen,Intake,English,Pretrial,Pretrial Defendant,Single,Low,Risk of Recidivism,1,Low,New
PRETRIAL,Male,African-American,42-50,Risk and Prescreen,Intake,English,Pretrial,Pretrial Defendant,Single,Low,Risk of Failure to Appear,3,Low,New
PRETRIAL,Male,Caucasian,51-60,Risk and Prescreen,Intake,English,Pretrial,Residential Program,Married,Low,Risk of Violence,1,Low,New
PRETRIAL,Male,Caucasian,51-60,Risk and Prescreen,Intake,English,Pretrial,Residential Program,Married,Low,Risk of Recidivism,1,Low,New
PRETRIAL,Male,Caucasian,51-60,Risk and Prescreen,Intake,English,Pretrial,Residential Program,Married,Low,Risk of Failure to Appear,1,Low,New
PRETRIAL,Male,Hispanic,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium,Risk of Violence,6,Medium,Copy
PRETRIAL,Male,Hispanic,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium,Risk of Recidivism,6,Medium,Copy
PRETRIAL,Male,Hispanic,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium,Risk of Failure to Appear,2,Low,Copy
PRETRIAL,Female,Caucasian,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Violence,1,Low,New
PRETRIAL,Female,Caucasian,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Recidivism,1,Low,New
PRETRIAL,Female,Caucasian,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Failure to Appear,2,Low,New
PRETRIAL,Male,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Violence,3,Low,New
PRETRIAL,Male,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Recidivism,2,Low,New
PRETRIAL,Male,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Failure to Appear,1,Low,New
PRETRIAL,Male,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium,Risk of Violence,5,Medium,New
PRETRIAL,Male,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium,Risk of Recidivism,6,Medium,New
PRETRIAL,Male,African-American,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium,Risk of Failure to Appear,1,Low,New
Probation,Male,Caucasian,60+,Risk and Prescreen,Intake,English,Post Sentence,Probation,Divorced,Low,Risk of Violence,1,Low,New
Probation,Male,Caucasian,60+,Risk and Prescreen,Intake,English,Post Sentence,Probation,Divorced,Low,Risk of Recidivism,3,Low,New
Probation,Male,Caucasian,60+,Risk and Prescreen,Intake,English,Post Sentence,Probation,Divorced,Low,Risk of Failure to Appear,2,Low,New
PRETRIAL,Male,Caucasian,33-41,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Low,Risk of Violence,4,Low,New
PRETRIAL,Male,Caucasian,33-41,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Low,Risk of Recidivism,5,Medium,New
PRETRIAL,Male,Caucasian,33-41,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Low,Risk of Failure to Appear,3,Low,New
PRETRIAL,Female,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Violence,7,Medium,New
PRETRIAL,Female,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Recidivism,9,High,New
PRETRIAL,Female,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium with Override Consideration,Risk of Failure to Appear,2,Low,New
PRETRIAL,Male,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium,Risk of Violence,3,Low,New
PRETRIAL,Male,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium,Risk of Recidivism,7,Medium,New
PRETRIAL,Male,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium,Risk of Failure to Appear,6,Medium,New
DRRD,Male,African-American,18-25,All Scales,Intake,English,Conditional Release,Probation,Single,High,Risk of Violence,8,High,New
DRRD,Male,African-American,18-25,All Scales,Intake,English,Conditional Release,Probation,Single,High,Risk of Recidivism,9,High,New
DRRD,Male,African-American,18-25,All Scales,Intake,English,Conditional Release,Probation,Single,High,Risk of Failure to Appear,3,Low,New
PRETRIAL,Female,African-American,42-50,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Violence,1,Low,New
PRETRIAL,Female,African-American,42-50,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Recidivism,1,Low,New
PRETRIAL,Female,African-American,42-50,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Failure to Appear,1,Low,New
PRETRIAL,Male,Other,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Violence,2,Low,New
PRETRIAL,Male,Other,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Recidivism,1,Low,New
PRETRIAL,Male,Other,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Failure to Appear,1,Low,New
PRETRIAL,Male,Caucasian,33-41,Risk and Prescreen,Intake,English,Pretrial,Pretrial Defendant,Single,Low,Risk of Violence,3,Low,New
PRETRIAL,Male,Caucasian,33-41,Risk and Prescreen,Intake,English,Pretrial,Pretrial Defendant,Single,Low,Risk of Recidivism,3,Low,New
PRETRIAL,Male,Caucasian,33-41,Risk and Prescreen,Intake,English,Pretrial,Pretrial Defendant,Single,Low,Risk of Failure to Appear,6,Medium,New
PRETRIAL,Female,African-American,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium,Risk of Violence,3,Low,New
PRETRIAL,Female,African-American,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium,Risk of Recidivism,6,Medium,New
PRETRIAL,Female,African-American,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium,Risk of Failure to Appear,8,High,New
PRETRIAL,Male,Caucasian,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,High,Risk of Violence,9,High,New
PRETRIAL,Male,Caucasian,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,High,Risk of Recidivism,9,High,New
PRETRIAL,Male,Caucasian,18-25,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,High,Risk of Failure to Appear,3,Low,New
PRETRIAL,Male,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium,Risk of Violence,6,Medium,Copy
PRETRIAL,Male,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium,Risk of Recidivism,6,Medium,Copy
PRETRIAL,Male,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Medium,Risk of Failure to Appear,5,Medium,Copy
PRETRIAL,Male,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Divorced,Medium,Risk of Violence,4,Low,New
PRETRIAL,Male,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Divorced,Medium,Risk of Recidivism,6,Medium,New
PRETRIAL,Male,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Divorced,Medium,Risk of Failure to Appear,2,Low,New
PRETRIAL,Male,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,High,Risk of Violence,9,High,New
PRETRIAL,Male,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,High,Risk of Recidivism,9,High,New
PRETRIAL,Male,African-American,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,High,Risk of Failure to Appear,3,Low,New
Probation,Male,Caucasian,42-50,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Low,Risk of Violence,1,Low,New
Probation,Male,Caucasian,42-50,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Low,Risk of Recidivism,1,Low,New
Probation,Male,Caucasian,42-50,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Low,Risk of Failure to Appear,3,Low,New
Probation,Male,African-American,26-32,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Low,Risk of Violence,1,Low,New
Probation,Male,African-American,26-32,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Low,Risk of Recidivism,3,Low,New
Probation,Male,African-American,26-32,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Low,Risk of Failure to Appear,4,Low,New
PRETRIAL,Male,African-American,42-50,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Violence,2,Low,New
PRETRIAL,Male,African-American,42-50,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Recidivism,2,Low,New
PRETRIAL,Male,African-American,42-50,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Failure to Appear,2,Low,New
PRETRIAL,Female,Hispanic,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Divorced,Low,Risk of Violence,1,Low,New
PRETRIAL,Female,Hispanic,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Divorced,Low,Risk of Recidivism,1,Low,New
PRETRIAL,Female,Hispanic,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Divorced,Low,Risk of Failure to Appear,1,Low,New
PRETRIAL,Male,African-American,42-50,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Violence,1,Low,New
PRETRIAL,Male,African-American,42-50,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Recidivism,1,Low,New
PRETRIAL,Male,African-American,42-50,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Failure to Appear,1,Low,New
PRETRIAL,Male,Hispanic,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Violence,4,Low,New
PRETRIAL,Male,Hispanic,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Recidivism,5,Medium,New
PRETRIAL,Male,Hispanic,26-32,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Failure to Appear,3,Low,New
Probation,Female,African-American,26-32,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Low,Risk of Violence,2,Low,New
Probation,Female,African-American,26-32,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Low,Risk of Recidivism,5,Medium,New
Probation,Female,African-American,26-32,Risk and Prescreen,Intake,English,Post Sentence,Probation,Single,Low,Risk of Failure to Appear,1,Low,New
PRETRIAL,Male,African-American,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Violence,1,Low,New
PRETRIAL,Male,African-American,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Recidivism,1,Low,New
PRETRIAL,Male,African-American,33-41,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Failure to Appear,1,Low,New
PRETRIAL,Male,Caucasian,51-60,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Violence,1,Low,New
PRETRIAL,Male,Caucasian,51-60,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Recidivism,1,Low,New
PRETRIAL,Male,Caucasian,51-60,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Married,Low,Risk of Failure to Appear,1,Low,New
Probation,Male,Caucasian,60+,Risk and Prescreen,Intake,English,Post Sentence,Probation,Divorced,Low,Risk of Violence,1,Low,New
Probation,Male,Caucasian,60+,Risk and Prescreen,Intake,English,Post Sentence,Probation,Divorced,Low,Risk of Recidivism,1,Low,New
Probation,Male,Caucasian,60+,Risk and Prescreen,Intake,English,Post Sentence,Probation,Divorced,Low,Risk of Failure to Appear,1,Low,New
PRETRIAL,Male,African-American,51-60,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Violence,2,Low,New
PRETRIAL,Male,African-American,51-60,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Recidivism,2,Low,New
PRETRIAL,Male,African-American,51-60,Risk and Prescreen,Intake,English,Pretrial,Jail Inmate,Single,Low,Risk of Failure to Appear,4,Low,New
PRETRIAL,Female,Caucasian,18-25,Risk and Prescreen,Intake,English,Pretrial,Pretrial Defendant,Single,Low,Risk of Violence,4,Low,New
PRETRIAL,Female,Caucasian,18-25,Risk and Prescreen,Intake,English,Pretrial,Pretrial Defendant,Single,Low,Risk of Recidivism,3,Low,New
